Year,Quarter,tbl,large_ms,fare_lg,lf_ms,fare_low,origin_cty,dest_cty,origin_apt,dest_apt,distance,passengers,fare,carrier_lg,carrier_low
2008,1,Table 1a,0,0,0,9999,2200,23210,ABE,DAL,1300,0.10989011,393.03,,
2008,1,Table 1a,36.41,301.27,32.31,282.57,2200,23210,ABE,DFW,1308,21.42857143,294.1751795,US,DL
2008,1,Table 1a,93.33,308.87,93.33,308.87,2200,37320,ABE,HOU,1351,1.648351648,303.3413333,DL,DL
2008,1,Table 1a,58.4,268.94,58.4,268.94,2200,37320,ABE,IAH,1339,13.73626374,286.73936,US,US
2008,1,Table 1a,66.67,213.76,33.33,158.97,2200,18500,ABE,MDW,646,0.659340659,195.4966667,NW,DL
2008,1,Table 1a,93.28,242.01,93.28,242.01,2200,18500,ABE,ORD,654,101.4285714,240.8516035,UA,UA
2008,1,Table 1a,100,108.71,100,108.71,2200,87870,ABE,PIE,971,118.021978,108.712486,G4,G4
2008,1,Table 1a,63.21,178.42,24.74,172.69,2200,87870,ABE,TPA,963,51.97802198,179.6240803,US,DL
2008,1,Table 1a,100,110.57,100,110.57,300,23210,ABI,DFW,158,25.93406593,110.5738983,AA,AA
2008,1,Table 1a,0,0,0,9999,300,18500,ABI,MDW,921,0.21978022,161.01,,
2008,1,Table 1a,92.08,198.27,92.08,198.27,300,18500,ABI,ORD,924,11.0989011,203.9688119,AA,AA
2008,1,Table 1a,99.92,129.37,99.92,129.37,1680,23210,ABQ,DAL,580,528.021978,129.3814964,WN,WN
2008,1,Table 1a,56.15,274.49,56.15,274.49,1680,96460,ABQ,DCA,1650,171.4285714,294.7980962,AA,AA
2008,1,Table 1a,97.95,134.27,97.95,134.27,1680,23210,ABQ,DFW,569,289.1208791,134.6677803,AA,AA
2008,1,Table 1a,62.21,282.58,16.89,244.51,1680,63760,ABQ,EWR,1805,112.5274725,273.7273731,CO,AA
2008,1,Table 1a,98.12,152.08,98.12,152.08,1680,37320,ABQ,HOU,759,256.7032967,152.4201926,WN,WN
2008,1,Table 1a,72.03,318.83,14.97,208.82,1680,96460,ABQ,IAD,1628,156.3736264,296.8925861,UA,WN
2008,1,Table 1a,91.67,175.82,91.67,175.82,1680,37320,ABQ,IAH,744,143.8461539,176.9443468,CO,CO
2008,1,Table 1a,28.96,245,11.11,149.43,1680,63760,ABQ,JFK,1825,32.63736264,218.1429966,AA,NW
