Year,Quarter,tbl,large_ms,fare_lg,lf_ms,fare_low,origin_cty,dest_cty,origin_apt,dest_apt,distance,passengers,fare,carrier_lg,carrier_low
2008,4,Table 1a,54.00,246.38,13.60,159.58,02200,23210,ABE,DFW,1308,27.173913043,239.331,US,NW
2008,4,Table 1a,90.91,277.78,90.91,277.78,02200,37320,ABE,HOU,1351,1.1956521739,273.29363636,DL,DL
2008,4,Table 1a,53.33,242.10,53.33,242.10,02200,37320,ABE,IAH,1339,21.195652174,262.93302564,US,US
2008,4,Table 1a,80.00,227.11,20.00,124.48,02200,18500,ABE,MDW,646,1.0869565217,206.586,NW,DL
2008,4,Table 1a,88.32,246.95,88.32,246.95,02200,18500,ABE,ORD,654,115.43478261,241.58106403,UA,UA
2008,4,Table 1a,100.00,114.59,100.00,114.59,02200,87870,ABE,PIE,971,85,114.58696931,G4,G4
2008,4,Table 1a,69.00,180.36,11.05,166.06,02200,87870,ABE,TPA,963,40.326086957,176.77423181,US,UA
2008,4,Table 1a,100.00,121.95,100.00,121.95,00300,23210,ABI,DFW,158,27.391304348,121.95472222,AA,AA
2008,4,Table 1a,92.00,255.46,92.00,255.46,00300,63760,ABI,EWR,1523,2.7173913043,252.4568,AA,AA
2008,4,Table 1a,98.39,177.07,98.39,177.07,00300,37320,ABI,HOU,323,6.7391304348,177.29419355,AA,AA
2008,4,Table 1a,90.57,178.38,90.57,178.38,00300,37320,ABI,IAH,307,11.52173913,183.02584906,AA,AA
2008,4,Table 1a,100.00,320.50,100.00,320.50,00300,63760,ABI,JFK,1542,0.4347826087,320.495,AA,AA
2008,4,Table 1a,95.29,247.48,95.29,247.48,00300,63760,ABI,LGA,1539,9.2391304348,249.16011765,AA,AA
2008,4,Table 1a,94.39,231.66,94.39,231.66,00300,18500,ABI,ORD,924,11.630434783,234.36205607,AA,AA
2008,4,Table 1a,99.83,159.25,99.83,159.25,01680,23210,ABQ,DAL,580,507.7173913,159.20513595,WN,WN
2008,4,Table 1a,50.58,314.00,10.09,189.85,01680,96460,ABQ,DCA,1650,168.04347826,294.0632859,AA,NW
2008,4,Table 1a,97.21,156.17,97.21,156.17,01680,23210,ABQ,DFW,569,268.36956522,157.32792224,AA,AA
2008,4,Table 1a,41.91,269.30,24.36,241.88,01680,63760,ABQ,EWR,1805,127.60869565,262.57924191,CO,AA
2008,4,Table 1a,99.30,180.38,99.30,180.38,01680,37320,ABQ,HOU,759,247.5,180.46769433,WN,WN
2008,4,Table 1a,64.56,357.18,10.28,224.85,01680,96460,ABQ,IAD,1628,151.19565217,312.43905104,UA,AA
2008,4,Table 1a,88.44,183.79,88.44,183.79,01680,37320,ABQ,IAH,744,102.5,188.33196182,CO,CO
2008,4,Table 1a,37.97,210.92,22.73,186.44,01680,63760,ABQ,JFK,1825,40.652173913,219.59561497,DL,AA
2008,4,Table 1a,45.51,216.91,11.82,205.34,01680,63760,ABQ,LGA,1821,271.30434783,211.76916667,AA,DL
2008,4,Table 1a,92.20,170.23,92.20,170.23,01680,18500,ABQ,MDW,1121,199.23913043,167.96468085,WN,WN
2008,4,Table 1a,65.28,179.64,65.28,179.64,01680,18500,ABQ,ORD,1118,224.7826087,190.69106867,AA,AA
2008,4,Table 1a,66.08,164.48,66.08,164.48,01680,87870,ABQ,TPA,1497,147.06521739,170.39781227,WN,WN
2008,4,Table 1a,99.21,301.95,99.21,301.95,01540,96460,ABY,DCA,647,13.695652174,302.63865079,DL,DL
2008,4,Table 1a,97.96,224.70,97.96,224.70,01540,63760,ABY,EWR,844,5.3260869565,224.14020408,DL,DL
2008,4,Table 1a,95.35,227.27,95.35,227.27,01540,96460,ABY,IAD,637,4.6739130435,232.51906977,DL,DL
2008,4,Table 1a,100.00,258.89,100.00,258.89,01540,63760,ABY,JFK,856,0.652173913,258.88833333,DL,DL
2008,4,Table 1a,96.47,244.62,96.47,244.62,01540,63760,ABY,LGA,859,9.2391304348,244.10976471,DL,DL
2008,4,Table 1a,92.06,340.61,92.06,340.61,95810,96460,ACT,DCA,1243,6.847826087,339.99015873,AA,AA
2008,4,Table 1a,96.55,282.33,96.55,282.33,95810,96460,ACT,IAD,1223,3.152173913,301.28413793,AA,AA
2008,4,Table 1a,71.43,290.94,14.29,222.69,27760,96460,ACV,DCA,2475,2.2826086957,285.09238095,DL,UA
2008,4,Table 1a,50.94,288.03,39.62,285.98,27760,63760,ACV,EWR,2580,5.7608695652,300.15679245,UA,DL
2008,4,Table 1a,81.58,257.55,81.58,257.55,27760,96460,ACV,IAD,2451,8.2608695652,290.26631579,UA,UA
2008,4,Table 1a,60.98,244.96,60.98,244.96,27760,63760,ACV,JFK,2601,8.9130434783,280.04268293,DL,DL
2008,4,Table 1a,44.44,260.90,44.44,260.90,27760,63760,ACV,LGA,2593,0.9782608696,304.82111111,DL,DL
2008,4,Table 1a,100.00,104.00,100.00,104.00,05870,87870,ACY,TPA,914,197.39130435,103.99610132,NK,NK
2008,4,Table 1a,100.00,305.98,100.00,305.98,01910,23210,AEX,DAL,273,0.2173913043,305.98,CO,CO
2008,4,Table 1a,42.14,373.94,15.00,299.48,01910,96460,AEX,DCA,1018,15.217391304,391.061,DL,NW
2008,4,Table 1a,96.21,195.14,96.21,195.14,01910,23210,AEX,DFW,285,22.934782609,201.13635071,AA,AA
2008,4,Table 1a,56.25,234.87,56.25,234.87,01910,63760,AEX,EWR,1211,12.173913043,249.36625,CO,CO
2008,4,Table 1a,60.98,441.40,60.98,441.40,01910,96460,AEX,IAD,1001,4.4565217391,483.81341463,DL,DL
2008,4,Table 1a,100.00,360.09,100.00,360.09,01910,63760,AEX,JFK,1228,0.652173913,360.085,DL,DL
2008,4,Table 1a,39.19,290.19,39.19,290.19,01910,63760,AEX,LGA,1228,8.0434782609,310.23581081,CO,CO
2008,4,Table 1a,100.00,268.09,100.00,268.09,01910,18500,AEX,MDW,769,1.9565217391,268.09222222,DL,DL
2008,4,Table 1a,39.36,276.42,29.79,239.11,01910,18500,AEX,ORD,778,10.217391304,269.65191489,CO,AA
2008,4,Table 1a,55.99,244.21,42.72,203.28,05980,96460,AGS,DCA,468,33.586956522,226.10834951,DL,US
2008,4,Table 1a,71.30,208.18,71.30,208.18,05980,23210,AGS,DFW,874,24.239130435,211.85403587,DL,DL
2008,4,Table 1a,62.43,244.64,32.37,214.99,05980,63760,AGS,EWR,663,18.804347826,241.68560694,DL,US
2008,4,Table 1a,98.68,229.77,98.68,229.77,05980,37320,AGS,HOU,826,8.2608695652,229.39276316,DL,DL
2008,4,Table 1a,51.46,245.19,51.46,245.19,05980,96460,AGS,IAD,459,11.195652174,249.98747573,US,US
2008,4,Table 1a,65.47,208.06,65.47,208.06,05980,37320,AGS,IAH,821,15.108695652,232.85827338,DL,DL
2008,4,Table 1a,62.50,228.12,30.36,219.56,05980,63760,AGS,JFK,675,6.0869565217,224.66589286,DL,US
2008,4,Table 1a,62.16,182.93,62.16,182.93,05980,63760,AGS,LGA,678,28.152173913,198.53451737,DL,DL
2008,4,Table 1a,100.00,170.07,100.00,170.07,05980,18500,AGS,MDW,661,6.6304347826,170.07344262,DL,DL
2008,4,Table 1a,36.13,218.78,30.89,180.44,05980,18500,AGS,ORD,677,20.760869565,203.2404712,DL,UA
2008,4,Table 1a,54.79,217.23,41.78,206.90,05980,87870,AGS,TPA,373,15.869565217,215.55773973,DL,US
2008,4,Table 1a,98.24,212.99,98.24,212.99,01580,23210,ALB,DAL,1427,18.47826087,213.34011765,WN,WN
2008,4,Table 1a,96.74,281.39,96.74,281.39,01580,96460,ALB,DCA,318,83.369565217,278.12035202,US,US
2008,4,Table 1a,29.19,227.33,11.68,165.95,01580,23210,ALB,DFW,1435,115.43478261,204.12496234,US,CO
2008,4,Table 1a,100.00,218.43,100.00,218.43,01580,63760,ALB,EWR,143,6.7391304348,218.42774194,CO,CO
2008,4,Table 1a,91.10,233.17,91.10,233.17,01580,37320,ALB,HOU,1495,35.434782609,237.31972393,WN,WN
2008,4,Table 1a,75.00,177.25,13.16,175.17,01580,96460,ALB,IAD,325,8.2608695652,186.54973684,UA,DL
2008,4,Table 1a,56.74,247.20,10.82,236.97,01580,37320,ALB,IAH,1482,69.347826087,254.5080721,CO,UA
2008,4,Table 1a,100.00,121.59,100.00,121.59,01580,63760,ALB,JFK,145,18.695652174,121.59122093,DL,DL
2008,4,Table 1a,100.00,109.86,100.00,109.86,01580,63760,ALB,LGA,136,0.1086956522,109.86,US,US
2008,4,Table 1a,97.94,184.72,97.94,184.72,01580,18500,ALB,MDW,717,116.30434783,186.57306542,WN,WN
2008,4,Table 1a,83.21,197.79,83.21,197.79,01580,18500,ALB,ORD,723,204.56521739,196.59715197,UA,UA
2008,4,Table 1a,65.55,164.32,65.55,164.32,01580,87870,ALB,TPA,1130,310.43478261,160.79803922,WN,WN
2008,4,Table 1a,99.40,103.38,99.40,103.38,02780,23210,AMA,DAL,324,471.41304348,103.43192991,WN,WN
2008,4,Table 1a,84.17,312.25,12.50,308.06,02780,96460,AMA,DCA,1383,13.043478261,313.90025,AA,CO
2008,4,Table 1a,97.97,105.86,97.97,105.86,02780,23210,AMA,DFW,313,123.36956522,105.73595595,AA,AA
2008,4,Table 1a,49.45,317.79,37.36,297.30,02780,63760,AMA,EWR,1544,9.8913043478,303.7221978,CO,AA
2008,4,Table 1a,97.88,168.82,97.88,168.82,02780,37320,AMA,HOU,538,123.15217391,168.59312445,WN,WN
2008,4,Table 1a,93.62,297.88,93.62,297.88,02780,96460,AMA,IAD,1361,5.1086956522,307.17234043,AA,AA
2008,4,Table 1a,52.31,150.24,38.46,120.16,02780,37320,AMA,IAH,519,7.0652173913,134.75,AA,CO
2008,4,Table 1a,37.50,286.31,37.50,286.31,02780,63760,AMA,JFK,1564,0.8695652174,304.0825,AA,AA
2008,4,Table 1a,70.40,337.58,70.40,337.58,02780,63760,AMA,LGA,1560,13.586956522,340.44112,AA,AA
2008,4,Table 1a,100.00,227.86,100.00,227.86,02780,18500,AMA,MDW,880,13.043478261,227.85725,WN,WN
2008,4,Table 1a,80.11,252.38,16.67,247.59,02780,18500,AMA,ORD,879,20.217391304,248.12817204,AA,CO
2008,4,Table 1a,33.81,238.21,33.81,238.21,02780,87870,AMA,TPA,1234,15.108695652,258.78172662,AA,AA
2008,4,Table 1a,50.00,301.17,50.00,301.17,05540,96460,ASE,DCA,1598,7.8260869565,319.23361111,F9,F9
2008,4,Table 1a,64.74,273.65,26.84,262.16,05540,23210,ASE,DFW,701,20.652173913,273.81157895,UA,F9
2008,4,Table 1a,87.79,338.70,87.79,338.70,05540,63760,ASE,EWR,1729,23.152173913,351.52544601,UA,UA
2008,4,Table 1a,96.45,374.82,96.45,374.82,05540,96460,ASE,IAD,1574,15.326086957,376.21120567,UA,UA
2008,4,Table 1a,67.26,288.59,21.43,284.32,05540,37320,ASE,IAH,914,18.260869565,287.26821429,UA,F9
2008,4,Table 1a,62.50,456.65,62.50,456.65,05540,63760,ASE,JFK,1750,1.7391304348,417.320625,DL,DL
2008,4,Table 1a,76.63,428.96,13.98,349.82,05540,63760,ASE,LGA,1744,56.739130435,416.12321839,UA,F9
