Year,Quarter,tbl,large_ms,fare_lg,lf_ms,fare_low,origin_cty,dest_cty,origin_apt,dest_apt,distance,passengers,fare,carrier_lg,carrier_low
2007,3,Table 1a,34.24,319.81,24.46,315.12,02200,23210,ABE,DFW,1308,20,328.01891304,US,UA
2007,3,Table 1a,80.00,312.65,80.00,312.65,02200,37320,ABE,HOU,1351,0.5434782609,345.582,DL,DL
2007,3,Table 1a,46.58,288.86,11.18,271.72,02200,37320,ABE,IAH,1339,17.5,303.82819876,US,UA
2007,3,Table 1a,50.00,249.59,50.00,249.59,02200,18500,ABE,MDW,646,1.5217391304,291.28428571,NW,NW
2007,3,Table 1a,91.39,246.15,91.39,246.15,02200,18500,ABE,ORD,654,128.69565217,246.95607264,UA,UA
2007,3,Table 1a,100.00,91.24,100.00,91.24,02200,87870,ABE,PIE,971,128.58695652,91.235942519,G4,G4
2007,3,Table 1a,73.10,171.71,12.77,153.53,02200,87870,ABE,TPA,963,40,166.35923913,US,DL
2007,3,Table 1a,97.10,247.20,97.10,247.20,00300,96460,ABI,DCA,1345,7.5,245.71652174,AA,AA
2007,3,Table 1a,100.00,98.63,100.00,98.63,00300,23210,ABI,DFW,158,32.065217391,98.629864407,AA,AA
2007,3,Table 1a,95.24,170.93,95.24,170.93,00300,37320,ABI,HOU,323,4.5652173913,170.54666667,AA,AA
2007,3,Table 1a,96.00,186.89,96.00,186.89,00300,96460,ABI,IAD,1325,2.7173913043,184.57,AA,AA
2007,3,Table 1a,68.85,147.19,24.59,121.23,00300,37320,ABI,IAH,307,6.6304347826,140.21344262,AA,CO
2007,3,Table 1a,0.00,0.00,0.00,9999.00,00300,18500,ABI,MDW,921,0.5434782609,227.384,,
2007,3,Table 1a,97.22,179.83,97.22,179.83,00300,18500,ABI,ORD,924,11.739130435,181.98009259,AA,AA
2007,3,Table 1a,99.80,134.68,99.80,134.68,01680,23210,ABQ,DAL,580,598.91304348,134.71454265,WN,WN
2007,3,Table 1a,43.48,260.41,14.54,198.91,01680,96460,ABQ,DCA,1650,225.76086957,253.05923447,AA,CO
2007,3,Table 1a,96.06,137.84,96.06,137.84,01680,23210,ABQ,DFW,569,297.82608696,139.09363869,AA,AA
2007,3,Table 1a,64.01,227.36,11.06,208.21,01680,63760,ABQ,EWR,1805,252.5,225.69853638,CO,DL
2007,3,Table 1a,98.90,169.42,98.90,169.42,01680,37320,ABQ,HOU,759,237.17391304,169.6104583,WN,WN
2007,3,Table 1a,69.51,289.91,13.77,225.39,01680,96460,ABQ,IAD,1628,165.76086957,276.76997377,UA,AA
2007,3,Table 1a,90.02,183.98,90.02,183.98,01680,37320,ABQ,IAH,744,169.89130435,185.81264875,CO,CO
2007,3,Table 1a,40.89,223.95,28.34,200.65,01680,63760,ABQ,JFK,1825,53.695652174,223.62115385,AA,DL
2007,3,Table 1a,43.02,213.61,24.55,195.20,01680,63760,ABQ,LGA,1821,268.80434783,209.77547918,AA,DL
2007,3,Table 1a,85.60,207.37,11.48,195.87,01680,18500,ABQ,MDW,1121,152.5,205.73009979,WN,F9
2007,3,Table 1a,64.65,194.41,64.65,194.41,01680,18500,ABQ,ORD,1118,274.56521739,210.01165479,AA,AA
2007,3,Table 1a,57.61,177.43,18.91,168.99,01680,87870,ABQ,TPA,1497,135.65217391,180.43449519,WN,AA
2007,3,Table 1a,98.41,393.18,98.41,393.18,01540,96460,ABY,DCA,647,13.695652174,390.50214286,DL,DL
2007,3,Table 1a,97.40,232.73,97.40,232.73,01540,63760,ABY,EWR,844,8.3695652174,232.00233766,DL,DL
