originapt,destapt,tbl,quart,origincity,destcity,origin,destination,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,numrecs
ABI,ATL,Table 6,20072,00300,05850,"Abilene, Texas, USA","Atlanta, Georgia, USA",889,10,270.66417582,AA,81.318681319,268.24959459,AA,81.318681319,268.24959459,1
ABI,ORD,Table 6,20072,00300,18500,"Abilene, Texas, USA","Chicago, Illinois, USA",924,13.406593407,202.56319672,AA,89.344262295,197.48724771,AA,89.344262295,197.48724771,2
ABI,DFW,Table 6,20072,00300,23210,"Abilene, Texas, USA","Dallas/Ft.Worth, Texas, USA",158,33.406593407,107.80970395,AA,100,107.80970395,AA,100,107.80970395,3
ABI,DEN,Table 6,20072,00300,24090,"Abilene, Texas, USA","Denver, Colorado, USA",584,10.32967033,227.08170213,AA,90.425531915,222.16082353,AA,90.425531915,222.16082353,4
ABI,LAS,Table 6,20072,00300,48880,"Abilene, Texas, USA","Las Vegas, Nevada, USA",920,17.692307692,244.45770186,AA,83.229813665,241.83843284,AA,83.229813665,241.83843284,5
ABI,LAX,Table 6,20072,00300,51410,"Abilene, Texas, USA","Los Angeles, California, USA",1089,10.21978022,236.7344086,AA,80.64516129,237.92493333,CO,15.053763441,233.18714286,6
ABI,LGA,Table 6,20072,00300,63760,"Abilene, Texas, USA","New York, New York, USA",1542,15.164835165,237.11275362,AA,77.536231884,221.56224299,AA,77.536231884,221.56224299,7
CAK,ABQ,Table 6,20072,01270,01680,"Akron/Canton, Ohio, USA","Albuquerque, New Mexico, USA",1427,18.901098901,201.43406977,F9,61.046511628,192.30161905,F9,61.046511628,192.30161905,8
CAK,ATL,Table 6,20072,01270,05850,"Akron/Canton, Ohio, USA","Atlanta, Georgia, USA",528,376.48351648,149.91743433,FL,69.760653824,136.8862887,FL,69.760653824,136.8862887,9
CAK,BHM,Table 6,20072,01270,11030,"Akron/Canton, Ohio, USA","Birmingham, Alabama, USA",585,18.791208791,179.05976608,DL,61.988304094,175.295,NW,14.035087719,151.00875,10
CAK,BOS,Table 6,20072,01270,12200,"Akron/Canton, Ohio, USA","Boston, Massachusetts, USA",549,179.34065934,107.70531863,FL,96.384803922,104.58221869,FL,96.384803922,104.58221869,11
CAK,CHS,Table 6,20072,01270,17900,"Akron/Canton, Ohio, USA","Charleston, South Carolina, USA",558,28.571428571,176.22069231,DL,46.538461538,166.66785124,DL,46.538461538,166.66785124,12
CAK,CLT,Table 6,20072,01270,17960,"Akron/Canton, Ohio, USA","Charlotte, North Carolina, USA",394,106.7032967,176.72718847,US,57.98146241,229.38328597,FL,19.670442842,83.524450262,13
CAK,ORD,Table 6,20072,01270,18500,"Akron/Canton, Ohio, USA","Chicago, Illinois, USA",344,70.21978022,167.65502347,UA,93.58372457,160.45928094,UA,93.58372457,160.45928094,14
CAK,DFW,Table 6,20072,01270,23210,"Akron/Canton, Ohio, USA","Dallas/Ft.Worth, Texas, USA",1023,61.318681319,177.27722222,DL,37.634408602,186.06890476,NW,22.043010753,140.83878049,15
CAK,DAB,Table 6,20072,01270,23700,"Akron/Canton, Ohio, USA","Daytona Beach, Florida, USA",809,28.351648352,132.57135659,FL,58.914728682,117.57013158,FL,58.914728682,117.57013158,16
CAK,DEN,Table 6,20072,01270,24090,"Akron/Canton, Ohio, USA","Denver, Colorado, USA",1224,168.35164835,179.77892298,F9,88.838120104,178.72635562,FL,1.4360313316,148.38227273,17
CAK,FLL,Table 6,20072,01270,29420,"Akron/Canton, Ohio, USA","Ft. Lauderdale, Florida, USA",1026,103.51648352,146.54380042,FL,58.704883227,133.71797468,FL,58.704883227,133.71797468,18
CAK,RSW,Table 6,20072,01270,29540,"Akron/Canton, Ohio, USA","Ft. Myers, Florida, USA",991,110.87912088,136.58783944,FL,66.997026759,126.26431953,FL,66.997026759,126.26431953,19
CAK,GSO,Table 6,20072,01270,33460,"Akron/Canton, Ohio, USA","Greensboro/High Point, Nc, USA",342,11.318681319,176.46621359,US,52.427184466,197.835,DL,42.718446602,154.23772727,20
CAK,GPT,Table 6,20072,01270,34290,"Akron/Canton, Ohio, USA","Gulfport/Biloxi, Mississippi, USA",841,11.098901099,156.61178218,FL,64.356435644,127.97461538,FL,64.356435644,127.97461538,21
CAK,IAH,Table 6,20072,01270,37320,"Akron/Canton, Ohio, USA","Houston, Texas, USA",1100,33.516483516,195.27495082,DL,50.163934426,206.88424837,NW,12.786885246,147.19897436,22
CAK,JAX,Table 6,20072,01270,40140,"Akron/Canton, Ohio, USA","Jacksonville, Florida, USA",719,45.494505495,157.63852657,FL,47.584541063,131.98664975,FL,47.584541063,131.98664975,23
CAK,MCI,Table 6,20072,01270,42650,"Akron/Canton, Ohio, USA","Kansas City, Missouri, USA",711,20,183.80598901,DL,44.505494505,178.73012346,UA,11.538461538,165.89095238,24
CAK,LAS,Table 6,20072,01270,48880,"Akron/Canton, Ohio, USA","Las Vegas, Nevada, USA",1846,118.02197802,146.72082868,F9,41.061452514,147.73598639,DL,40.875232775,128.7533713,25
CAK,LAX,Table 6,20072,01270,51410,"Akron/Canton, Ohio, USA","Los Angeles, California, USA",2073,47.692307692,221.0174424,DL,28.341013825,225.42829268,F9,21.198156682,200.68271739,26
CAK,MEM,Table 6,20072,01270,57180,"Akron/Canton, Ohio, USA","Memphis, Tennessee, USA",617,35.164835165,189.699125,DL,27.1875,200.42436782,FL,21.5625,176.46898551,27
CAK,MIA,Table 6,20072,01270,57560,"Akron/Canton, Ohio, USA","Miami, Florida, USA",1044,33.406593407,172.14055921,FL,44.407894737,140.29844444,FL,44.407894737,140.29844444,28
CAK,MSP,Table 6,20072,01270,57970,"Akron/Canton, Ohio, USA","Minneapolis/St.Paul, Minnesota, USA",657,15.714285714,311.69083916,UA,39.86013986,231.42350877,UA,39.86013986,231.42350877,29
CAK,MYR,Table 6,20072,01270,61830,"Akron/Canton, Ohio, USA","Myrtle Beach, South Carolina, USA",518,39.67032967,187.57479224,US,68.144044321,188.65495935,DL,29.639889197,187.7471028,30
CAK,BNA,Table 6,20072,01270,62860,"Akron/Canton, Ohio, USA","Nashville, Tennessee, USA",435,13.406593407,184.73442623,DL,40.983606557,173.8864,NW,40.983606557,140.8134,31
CAK,MSY,Table 6,20072,01270,63580,"Akron/Canton, Ohio, USA","New Orleans, Louisiana, USA",901,23.846153846,173.64175115,FL,49.769585253,148.94342593,FL,49.769585253,148.94342593,32
CAK,LGA,Table 6,20072,01270,63760,"Akron/Canton, Ohio, USA","New York, New York, USA",402,242.1978022,116.60549909,FL,95.372050817,111.50289724,FL,95.372050817,111.50289724,33
CAK,MCO,Table 6,20072,01270,66600,"Akron/Canton, Ohio, USA","Orlando, Florida, USA",860,277.36263736,132.72548336,FL,84.350237718,127.15878816,FL,84.350237718,127.15878816,34
CAK,PNS,Table 6,20072,01270,69380,"Akron/Canton, Ohio, USA","Pensacola, Florida, USA",789,33.626373626,162.4498366,FL,49.673202614,139.9625,FL,49.673202614,139.9625,35
CAK,PHL,Table 6,20072,01270,69880,"Akron/Canton, Ohio, USA","Philadelphia, Pennsylvania, USA",335,42.967032967,185.70731458,US,48.337595908,239.78291005,NW,45.780051151,127.68765363,36
CAK,PHX,Table 6,20072,01270,69980,"Akron/Canton, Ohio, USA","Phoenix, Arizona, USA",1754,69.010989011,175.96863057,F9,52.070063694,160.4087156,FL,14.968152866,126.50531915,37
CAK,PDX,Table 6,20072,01270,71790,"Akron/Canton, Ohio, USA","Portland, Oregon, USA",2078,19.67032967,220.92357542,F9,55.30726257,197.47161616,F9,55.30726257,197.47161616,38
CAK,RDU,Table 6,20072,01270,74830,"Akron/Canton, Ohio, USA","Raleigh/Durham, North Carolina, USA",376,17.032967033,175.17103226,US,48.387096774,198.72733333,FL,11.612903226,145.75833333,39
CAK,SMF,Table 6,20072,01270,77850,"Akron/Canton, Ohio, USA","Sacramento, California, USA",2123,20.21978022,203.92434783,F9,54.891304348,187.23247525,F9,54.891304348,187.23247525,40
CAK,STL,Table 6,20072,01270,78460,"Akron/Canton, Ohio, USA","St. Louis, Missouri, USA",497,12.857142857,167.5565812,DL,46.153846154,176.30407407,NW,25.641025641,153.314,41
CAK,SLC,Table 6,20072,01270,79070,"Akron/Canton, Ohio, USA","Salt Lake City, Utah, USA",1591,24.725274725,226.62862222,F9,63.111111111,195.19732394,F9,63.111111111,195.19732394,42
CAK,SAT,Table 6,20072,01270,79360,"Akron/Canton, Ohio, USA","San Antonio, Texas, USA",1238,14.505494505,219.85840909,DL,71.96969697,231.17810526,NW,11.363636364,164.50133333,43
CAK,SAN,Table 6,20072,01270,79520,"Akron/Canton, Ohio, USA","San Diego, California, USA",2045,36.373626374,208.46664653,F9,43.806646526,201.69317241,F9,43.806646526,201.69317241,44
CAK,SFO,Table 6,20072,01270,79830,"Akron/Canton, Ohio, USA","San Francisco, California, USA",2187,29.450549451,229.07048507,F9,32.089552239,206.97860465,F9,32.089552239,206.97860465,45
CAK,SJC,Table 6,20072,01270,80050,"Akron/Canton, Ohio, USA","San Jose, California, USA",2169,15.054945055,199.57671533,F9,52.554744526,193.89847222,DL,29.197080292,181.94125,46
CAK,SNA,Table 6,20072,01270,80650,"Akron/Canton, Ohio, USA","Santa Ana, California, USA",2052,20.43956044,223.6411828,F9,39.247311828,221.52630137,DL,24.193548387,209.35733333,47
CAK,SRQ,Table 6,20072,01270,82080,"Akron/Canton, Ohio, USA","Sarasota/Bradenton, Florida, USA",934,38.681318681,141.01588068,FL,63.352272727,119.29040359,FL,63.352272727,119.29040359,48
CAK,SAV,Table 6,20072,01270,82340,"Akron/Canton, Ohio, USA","Savannah, Georgia, USA",606,41.978021978,163.55989529,FL,41.361256545,144.01151899,FL,41.361256545,144.01151899,49
CAK,SEA,Table 6,20072,01270,82630,"Akron/Canton, Ohio, USA","Seattle, Washington, USA",2055,36.043956044,233.52042683,F9,38.109756098,204.2916,F9,38.109756098,204.2916,50
CAK,TLH,Table 6,20072,01270,87620,"Akron/Canton, Ohio, USA","Tallahassee, Florida, USA",743,10.879120879,192.22676768,US,52.525252525,198.51153846,DL,45.454545455,184.23977778,51
CAK,TPA,Table 6,20072,01270,87870,"Akron/Canton, Ohio, USA","Tampa, Florida, USA",894,233.40659341,127.97109699,FL,88.1826742,121.08230112,FL,88.1826742,121.08230112,52
CAK,TUS,Table 6,20072,01270,91940,"Akron/Canton, Ohio, USA","Tucson, Arizona, USA",1740,15.274725275,190.51834532,F9,50.35971223,184.05028571,DL,46.043165468,173.31515625,53
CAK,PBI,Table 6,20072,01270,97160,"Akron/Canton, Ohio, USA","West Palm Beach, Florida, USA",984,40.21978022,149.93625683,FL,45.081967213,126.50175758,FL,45.081967213,126.50175758,54
CAK,ICT,Table 6,20072,01270,97500,"Akron/Canton, Ohio, USA","Wichita, Kansas, USA",885,14.395604396,178.98442748,FL,43.511450382,165.65614035,FL,43.511450382,165.65614035,55
ABY,LGA,Table 6,20072,01540,63760,"Albany, Georgia, USA","New York, New York, USA",859,11.428571429,263.33701923,DL,93.269230769,259.13185567,DL,93.269230769,259.13185567,56
ABY,IAD,Table 6,20072,01540,96460,"Albany, Georgia, USA","Washington, D.C., USA",647,15.384615385,372.88278571,DL,99.285714286,369.85669065,DL,99.285714286,369.85669065,57
ALB,ABQ,Table 6,20072,01580,01680,"Albany, New York, USA","Albuquerque, New Mexico, USA",1833,42.637362637,224.71420103,WN,30.927835052,235.826,CO,10.051546392,169.91538462,58
ALB,AVL,Table 6,20072,01580,05420,"Albany, New York, USA","Asheville, North Carolina, USA",688,13.076923077,178.24445378,US,43.697478992,225.08153846,NW,18.487394958,108.56090909,59
