Year,Quarter,cityname,origin,TOT_CountofMkts,TOT_FaredPax,TOT_PctLFMkts,TOT_AvgHubFare,TOT_PctPremium,SH_CountofMkts,SH_FaredPax,SH_PctLFMkts,SH_AvgHubFare,SH_PctPremium,LH_CountofMkts,LH_FaredPax,LH_PctLFMkts,LH_AvgHubFare,LH_PctPremium
2008,2,"Allentown, Pennsylvania",ABE,33,135820,0,195.73166838,-7.848276793,11,42920,0,247.42601817,23.517475237,22,92900,0,171.84876749,-21.16478862
2008,2,"Albuquerque, New Mexico",ABQ,86,1228470,0.8384168926,174.60397747,-7.629772685,23,545870,0.9546228956,132.58535585,-16.02236371,63,682600,0.7454878406,208.20594785,-2.676701094
2008,2,"Atlantic City, New Jersey",ACY,6,226720,1,105.76265835,-40.27591683,1,42590,1,98.538708617,-44.93779056,5,184130,1,107.4335866,-39.18352614
2008,2,"Albany, New York",ALB,69,580130,0.7600020685,198.96764036,-1.219839221,27,208380,0.5653613591,175.19491266,-0.062778045,42,371750,0.8691055817,212.2931575,-1.746061906
2008,2,"Amarillo, Texas",AMA,25,163150,0.8145878026,141.35691388,-17.28236048,11,126410,0.8306304881,120.03461751,-20.49800517,14,36740,0.7593903103,214.71977409,-10.30423598
2008,2,"Atlanta, Georgia",ATL,164,6212140,0.8276761309,195.04678824,16.48305447,98,3768550,0.8268803651,176.42941121,14.781797236,66,2443590,0.8289033758,223.75885378,18.62099302
2008,2,"Austin, Texas",AUS,106,1801630,0.7471345393,185.40274296,-0.64737994,26,454470,0.8577023786,132.52595749,-12.08211626,80,1347160,0.7098340212,203.24094532,2.2788645737
2008,2,"Hartford, CT/Springfield, MA",BDL,91,1321870,0.6306066406,212.29982207,11.267551005,30,349140,0.4870539039,190.20201552,21.19816289,61,972730,0.6821317323,220.23134282,8.5114271335
2008,2,"Birmingham, Alabama",BHM,69,680000,0.7795147059,185.89052162,-6.901100396,38,467140,0.7807937663,162.48340369,-14.01284903,31,212860,0.7767076952,237.25950155,6.3140425111
2008,2,"Bellingham, Washington",BLI,11,98600,0,123.4316998,-30.69637577,3,13610,0,93.287994122,-47.67600856,8,84990,0,128.25880692,-27.97401622
2008,2,"Nashville, Tennessee",BNA,99,1881040,0.7604622975,173.88575389,-6.45117685,56,1130250,0.7218756912,155.6968407,-11.17016821,43,750790,0.8185511261,201.26760386,-0.282020562
2008,2,"Boise, Idaho",BOI,58,579990,0.8753944034,153.00425042,-13.43875003,20,424390,0.9449562902,119.48384528,-22.16587462,38,155600,0.6856683805,244.42921658,1.7757243365
2008,2,"Boston, Massachusetts",BOS,136,4796850,0.5578098127,223.96624431,15.779571528,37,1583310,0.504304274,196.40453424,43.915955701,99,3213540,0.5841719723,237.54588893,7.2387924211
2008,2,"Baton Rouge, Louisiana",BTR,37,132960,0.0545276775,226.8006265,6.3968239503,13,56700,0,204.19579894,12.966650308,24,76260,0.0950694991,243.60752033,2.6753730032
